list-none-none,1,10,1,30,75236,2507
list-none-none,1,100,1,300,128919,429
list-none-none,1,1000,1,3000,2969799,989
list-none-none,1,10000,1,30000,436309868,14543
list-none-none,1,20000,1,60000,1125033710,18750
list-none-none,2,1,1,6,108614,18102
list-none-none,2,10,1,60,89063,1484
list-none-none,4,1,1,12,134009,11167
list-none-none,4,10,1,120,136949,1141
list-none-none,8,1,1,24,250728,10447
list-none-none,8,10,1,240,227136,946
list-none-none,12,1,1,36,390400,10844
list-none-none,12,10,1,360,351431,976
list-i-none,2,1,1,6,93143,15523
list-i-none,2,2,1,12,89324,7443
list-i-none,2,4,1,24,113086,4711
list-i-none,2,16,1,96,129165,1345
list-i-none,4,1,1,12,151024,12585
list-i-none,4,2,1,24,146228,6092
list-i-none,4,4,1,48,145796,3037
list-i-none,8,1,1,24,265205,11050
list-i-none,8,2,1,48,252272,5255
list-i-none,8,8,1,192,228747,1191
list-i-none,12,1,1,36,381870,10607
list-i-none,12,2,1,72,346313,4809
list-i-none,12,4,1,144,342124,2375
list-d-none,2,1,1,6,84899,14149
list-d-none,2,2,1,12,88516,7376
list-d-none,2,4,1,24,101429,4226
list-d-none,2,8,1,48,116265,2422
list-d-none,4,1,1,12,159973,13331
list-d-none,4,8,1,96,150443,1567
list-d-none,8,2,1,48,260979,5437
list-d-none,8,4,1,96,245048,2552
list-d-none,8,8,1,192,235639,1227
list-d-none,12,2,1,72,363765,5052
list-d-none,12,8,1,288,338524,1175
list-d-none,12,16,1,576,379481,658
list-il-none,2,1,1,6,79622,13270
list-il-none,2,2,1,12,89313,7442
list-il-none,2,4,1,24,97147,4047
list-il-none,2,8,1,48,108977,2270
list-il-none,2,16,1,96,145890,1519
list-il-none,4,1,1,12,152277,12689
list-il-none,4,2,1,24,156035,6501
list-il-none,8,1,1,24,263453,10977
list-il-none,8,2,1,48,249204,5191
list-il-none,12,1,1,36,364149,10115
list-il-none,12,2,1,72,359741,4996
list-il-none,12,4,1,144,358316,2488
list-il-none,12,8,1,288,371181,1288
list-dl-none,2,1,1,6,128854,21475
list-dl-none,2,2,1,12,132096,11008
list-dl-none,2,4,1,24,156525,6521
list-dl-none,2,8,1,48,132080,2751
list-dl-none,4,1,1,12,162203,13516
list-dl-none,4,2,1,24,136421,5684
list-dl-none,8,1,1,24,258872,10786
list-dl-none,8,2,1,48,252346,5257
list-dl-none,8,4,1,96,230670,2402
list-dl-none,12,1,1,36,383679,10657
list-dl-none,12,4,1,144,390256,2710
list-i-m,2,1,1,6,101992,16998
list-i-m,2,2,1,12,84097,7008
list-i-m,2,4,1,24,113504,4729
list-i-m,2,8,1,48,113955,2374
list-i-m,2,16,1,96,143037,1489
list-i-m,2,32,1,192,193129,1005
list-i-m,4,1,1,12,144179,12014
list-i-m,4,2,1,24,134559,5606
list-i-m,4,4,1,48,132364,2757
list-i-m,4,8,1,96,178481,1859
list-i-m,4,16,1,192,245047,1276
list-i-m,4,32,1,384,452933,1179
list-i-m,8,1,1,24,250513,10438
list-i-m,8,2,1,48,236764,4932
list-i-m,8,4,1,96,268196,2793
list-i-m,8,8,1,192,318953,1661
list-i-m,8,16,1,384,463764,1207
list-i-m,8,32,1,768,1233826,1606
list-i-m,12,1,1,36,345921,9608
list-i-m,12,2,1,72,352460,4895
list-i-m,12,4,1,144,360565,2503
list-i-m,12,8,1,288,330468,1147
list-i-m,12,16,1,576,860789,1494
list-i-m,12,32,1,1152,1711865,1485
list-d-m,2,1,1,6,91373,15228
list-d-m,2,2,1,12,100160,8346
list-d-m,2,4,1,24,108160,4506
list-d-m,2,8,1,48,115562,2407
list-d-m,2,16,1,96,138986,1447
list-d-m,2,32,1,192,185889,968
list-d-m,4,1,1,12,149666,12472
list-d-m,4,2,1,24,145968,6082
list-d-m,4,4,1,48,152781,3182
list-d-m,4,8,1,96,182779,1903
list-d-m,4,16,1,192,278461,1450
list-d-m,4,32,1,384,489064,1273
list-d-m,8,1,1,24,219484,9145
list-d-m,8,2,1,48,237155,4940
list-d-m,8,4,1,96,237141,2470
list-d-m,8,8,1,192,305888,1593
list-d-m,8,16,1,384,452727,1178
list-d-m,8,32,1,768,982043,1278
list-d-m,12,1,1,36,345640,9601
list-d-m,12,2,1,72,344828,4789
list-d-m,12,4,1,144,319893,2221
list-d-m,12,8,1,288,395033,1371
list-d-m,12,16,1,576,711571,1235
list-d-m,12,32,1,1152,1601691,1390
list-il-m,2,1,1,6,79190,13198
list-il-m,2,2,1,12,110623,9218
list-il-m,2,4,1,24,108319,4513
list-il-m,2,8,1,48,135875,2830
list-il-m,2,16,1,96,213897,2228
list-il-m,2,32,1,192,396743,2066
list-il-m,4,1,1,12,142861,11905
list-il-m,4,2,1,24,135073,5628
list-il-m,4,4,1,48,162954,3394
list-il-m,4,8,1,96,246311,2565
list-il-m,4,16,1,192,453535,2362
list-il-m,4,32,1,384,885193,2305
list-il-m,8,1,1,24,236470,9852
list-il-m,8,2,1,48,245140,5107
list-il-m,8,4,1,96,390256,4065
list-il-m,8,8,1,192,584420,3043
list-il-m,8,16,1,384,1108388,2886
list-il-m,8,32,1,768,2300693,2995
list-il-m,12,1,1,36,350569,9738
list-il-m,12,2,1,72,356070,4945
list-il-m,12,4,1,144,393727,2734
list-il-m,12,8,1,288,859434,2984
list-il-m,12,16,1,576,2029623,3523
list-il-m,12,32,1,1152,4550423,3950
list-dl-m,2,1,1,6,81080,13513
list-dl-m,2,2,1,12,122089,10174
list-dl-m,2,4,1,24,118437,4934
list-dl-m,2,8,1,48,151501,3156
list-dl-m,2,16,1,96,226950,2364
list-dl-m,2,32,1,192,369765,1925
list-dl-m,4,1,1,12,139059,11588
list-dl-m,4,2,1,24,151690,6320
list-dl-m,4,4,1,48,177786,3703
list-dl-m,4,8,1,96,244285,2544
list-dl-m,4,16,1,192,440409,2293
list-dl-m,4,32,1,384,889814,2317
list-dl-m,8,1,1,24,245217,10217
list-dl-m,8,2,1,48,257532,5365
list-dl-m,8,4,1,96,349627,3641
list-dl-m,8,8,1,192,521207,2714
list-dl-m,8,16,1,384,1086572,2829
list-dl-m,8,32,1,768,2405700,3132
list-dl-m,12,1,1,36,407573,11321
list-dl-m,12,2,1,72,356534,4951
list-dl-m,12,4,1,144,373861,2596
list-dl-m,12,8,1,288,678698,2356
list-dl-m,12,16,1,576,2004404,3479
list-dl-m,12,32,1,1152,4628048,4017
list-i-s,2,1,1,6,106778,17796
list-i-s,2,2,1,12,119823,9985
list-i-s,2,4,1,24,110899,4620
list-i-s,2,8,1,48,115937,2415
list-i-s,2,16,1,96,152930,1593
list-i-s,2,32,1,192,201077,1047
list-i-s,4,1,1,12,137545,11462
list-i-s,4,2,1,24,126925,5288
list-i-s,4,4,1,48,153862,3205
list-i-s,4,8,1,96,138835,1446
list-i-s,4,16,1,192,249151,1297
list-i-s,4,32,1,384,476617,1241
list-i-s,8,1,1,24,259363,10806
list-i-s,8,2,1,48,233386,4862
list-i-s,8,4,1,96,259352,2701
list-i-s,8,8,1,192,230109,1198
list-i-s,8,16,1,384,517394,1347
list-i-s,8,32,1,768,1182803,1540
list-i-s,12,1,1,36,387625,10767
list-i-s,12,2,1,72,344101,4779
list-i-s,12,4,1,144,337120,2341
list-i-s,12,8,1,288,357648,1241
list-i-s,12,16,1,576,666230,1156
list-i-s,12,32,1,1152,1766495,1533
list-d-s,2,1,1,6,113182,18863
list-d-s,2,2,1,12,108466,9038
list-d-s,2,4,1,24,102495,4270
list-d-s,2,8,1,48,112712,2348
list-d-s,2,16,1,96,125601,1308
list-d-s,2,32,1,192,165790,863
list-d-s,4,1,1,12,139623,11635
list-d-s,4,2,1,24,123377,5140
list-d-s,4,4,1,48,160480,3343
list-d-s,4,8,1,96,130408,1358
list-d-s,4,16,1,192,175792,915
list-d-s,4,32,1,384,317840,827
list-d-s,8,1,1,24,260889,10870
list-d-s,8,2,1,48,253622,5283
list-d-s,8,4,1,96,253093,2636
list-d-s,8,8,1,192,270443,1408
list-d-s,8,16,1,384,393669,1025
list-d-s,8,32,1,768,1016002,1322
list-d-s,12,1,1,36,366820,10189
list-d-s,12,2,1,72,343920,4776
list-d-s,12,4,1,144,312567,2170
list-d-s,12,8,1,288,338586,1175
list-d-s,12,16,1,576,529756,919
list-d-s,12,32,1,1152,1718810,1492
list-il-s,2,1,1,6,97136,16189
list-il-s,2,2,1,12,108641,9053
list-il-s,2,4,1,24,117260,4885
list-il-s,2,8,1,48,137605,2866
list-il-s,2,16,1,96,199656,2079
list-il-s,2,32,1,192,312227,1626
list-il-s,4,1,1,12,157173,13097
list-il-s,4,2,1,24,132855,5535
list-il-s,4,4,1,48,145516,3031
list-il-s,4,8,1,96,224251,2335
list-il-s,4,16,1,192,390797,2035
list-il-s,4,32,1,384,619907,1614
list-il-s,8,1,1,24,276772,11532
list-il-s,8,2,1,48,267336,5569
list-il-s,8,4,1,96,258141,2688
list-il-s,8,8,1,192,416376,2168
list-il-s,8,16,1,384,978815,2548
list-il-s,8,32,1,768,2074997,2701
list-il-s,12,1,1,36,354201,9838
list-il-s,12,2,1,72,347176,4821
list-il-s,12,4,1,144,372300,2585
list-il-s,12,8,1,288,583723,2026
list-il-s,12,16,1,576,1730701,3004
list-il-s,12,32,1,1152,3547291,3079
list-dl-s,2,1,1,6,99040,16506
list-dl-s,2,2,1,12,113183,9431
list-dl-s,2,4,1,24,115297,4804
list-dl-s,2,8,1,48,146623,3054
list-dl-s,2,16,1,96,203690,2121
list-dl-s,2,32,1,192,292168,1521
list-dl-s,4,1,1,12,149947,12495
list-dl-s,4,2,1,24,137663,5735
list-dl-s,4,4,1,48,162304,3381
list-dl-s,4,8,1,96,186675,1944
list-dl-s,4,16,1,192,405973,2114
list-dl-s,4,32,1,384,782642,2038
list-dl-s,8,1,1,24,288426,12017
list-dl-s,8,2,1,48,290702,6056
list-dl-s,8,4,1,96,246676,2569
list-dl-s,8,8,1,192,332055,1729
list-dl-s,8,16,1,384,804979,2096
list-dl-s,8,32,1,768,1951232,2540
list-dl-s,12,1,1,36,382738,10631
list-dl-s,12,2,1,72,356460,4950
list-dl-s,12,4,1,144,403197,2799
list-dl-s,12,8,1,288,558995,1940
list-dl-s,12,16,1,576,1466539,2546
list-dl-s,12,32,1,1152,3626190,3147
list-none-none,1,1000,1,3000,4341374,1447
list-none-m,1,1000,1,3000,4357148,1452
list-none-m,2,1000,1,6000,15780517,2630
list-none-m,4,1000,1,12000,56019973,4668
list-none-m,8,1000,1,24000,201634456,8401
list-none-m,12,1000,1,36000,527040876,14640
list-none-m,16,1000,1,48000,646126300,13460
list-none-m,24,1000,1,72000,1370829059,19039
list-none-s,1,1000,1,3000,4349363,1449
list-none-s,2,1000,1,6000,17567043,2927
list-none-s,4,1000,1,12000,71464136,5955
list-none-s,8,1000,1,24000,171928081,7163
list-none-s,12,1000,1,36000,370480581,10291
list-none-s,16,1000,1,48000,499665724,10409
list-none-s,24,1000,1,72000,945281093,13128
